Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-5.334428, 2020-2039, gfdl_esm2m, Feb Anomaly, Bulgaria, BGR
4.829695, 2020-2039, gfdl_esm2m, Mar Anomaly, Bulgaria, BGR
-5.9841447, 2020-2039, gfdl_esm2m, Apr Anomaly, Bulgaria, BGR
-2.8870118, 2020-2039, gfdl_esm2m, May Anomaly, Bulgaria, BGR
-11.902552, 2020-2039, gfdl_esm2m, Jun Anomaly, Bulgaria, BGR
12.039973, 2020-2039, gfdl_esm2m, Jul Anomaly, Bulgaria, BGR
11.868367, 2020-2039, gfdl_esm2m, Aug Anomaly, Bulgaria, BGR
-5.928659, 2020-2039, gfdl_esm2m, Sep Anomaly, Bulgaria, BGR
-5.5601296, 2020-2039, gfdl_esm2m, Oct Anomaly, Bulgaria, BGR
-0.11043215, 2020-2039, gfdl_esm2m, Nov Anomaly, Bulgaria, BGR
-6.3693647, 2020-2039, gfdl_esm2m, Dec Anomaly, Bulgaria, BGR
-0.3807646, 2020-2039, giss_e2_h, Jan Anomaly, Bulgaria, BGR
-6.6756344, 2020-2039, giss_e2_h, Feb Anomaly, Bulgaria, BGR
6.351754, 2020-2039, giss_e2_h, Mar Anomaly, Bulgaria, BGR
7.8858323, 2020-2039, giss_e2_h, Apr Anomaly, Bulgaria, BGR
8.500639, 2020-2039, giss_e2_h, May Anomaly, Bulgaria, BGR
8.363569, 2020-2039, giss_e2_h, Jun Anomaly, Bulgaria, BGR
-9.936038, 2020-2039, giss_e2_h, Jul Anomaly, Bulgaria, BGR
33.779366, 2020-2039, giss_e2_h, Aug Anomaly, Bulgaria, BGR
-3.8758047, 2020-2039, giss_e2_h, Sep Anomaly, Bulgaria, BGR
-10.583688, 2020-2039, giss_e2_h, Oct Anomaly, Bulgaria, BGR
9.136528, 2020-2039, giss_e2_h, Nov Anomaly, Bulgaria, BGR
-23.247686, 2020-2039, giss_e2_h, Dec Anomaly, Bulgaria, BGR
8.435033, 2020-2039, giss_e2_r, Jan Anomaly, Bulgaria, BGR
6.5674143, 2020-2039, giss_e2_r, Feb Anomaly, Bulgaria, BGR
4.6291366, 2020-2039, giss_e2_r, Mar Anomaly, Bulgaria, BGR
1.8609309, 2020-2039, giss_e2_r, Apr Anomaly, Bulgaria, BGR
-12.441036, 2020-2039, giss_e2_r, May Anomaly, Bulgaria, BGR
-1.6061723, 2020-2039, giss_e2_r, Jun Anomaly, Bulgaria, BGR
-1.6480348, 2020-2039, giss_e2_r, Jul Anomaly, Bulgaria, BGR
12.380425, 2020-2039, giss_e2_r, Aug Anomaly, Bulgaria, BGR
-20.754984, 2020-2039, giss_e2_r, Sep Anomaly, Bulgaria, BGR
-11.905752, 2020-2039, giss_e2_r, Oct Anomaly, Bulgaria, BGR
-9.927368, 2020-2039, giss_e2_r, Nov Anomaly, Bulgaria, BGR
4.941378, 2020-2039, giss_e2_r, Dec Anomaly, Bulgaria, BGR
-1.9487398, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, Bulgaria, BGR
7.7378035, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, Bulgaria, BGR
-8.03274, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, Bulgaria, BGR
0.6573975, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, Bulgaria, BGR
